,name,points,url,Достоверность маркировки,Антибиотики,Микробиология,Безопасность,Качество,Фальсификация,Органолептика,Содержание потенциально опасных веществ,Микробиологическая безопасность,Маркировка,Потребительские свойства,Потенциально вредные вещества,Пестициды нормируемые,Пестициды,Экокритерии,Антибиотики и токсичные элементы,Физико-химические показатели,Показатели качества,Введение потребителя в заблуждение,Достоверность информации,Органолептические и физико-химические показатели,Органолептические показатели,Консерванты,Витамины,Пищевая ценность,Минеральные вещества,Синтетические красители,Подсластители,Красители
25,М,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
26,Молочная речка,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
27,Моя цена,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
28,Му-у,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
29,Простоквашино,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
30,С нашей фермы,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
31,Северная долина,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
32,Село зеленое,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
33,Globus,4.65,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,4.5,5.0,5.0,5.0,5.0,5.0,4.0,,,,,,,,,,,,,,,,,,
34,Залесский фермер,4.65,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,4.5,5.0,5.0,5.0,5.0,5.0,4.0,,,,,,,,,,,,,,,,,,
35,Большая кружка,3.5,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,
36,Вологодское из Вологды,3.5,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,
37,Гринвилль,3.5,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,
38,Свитлогорье,3.5,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,
39,Снежок,3.5,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,
40,Тысяча Озёр,3.5,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,
41,ЭкоНива,3.5,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,
